Word List and Definitions for the King James Bible


Word  Count, Definition, Reference(s) 

Abase   (8) to reduce or lower; to humble or cast down (Job 40:11; Isa 31:4; Eze 21:26) 
Abated   (6) diminished in intensity or amount; lessened (Gen 8:3; Lev 27:18; Deu 34:7) 
Abba   (3) father; a superior Chaldee/Syriac (Mar 14:36; Rom 8:15; Gal 4:6) 
Abhor   (42) to shrink from with dread; lothe, detest (Exo 5:21; Lev 20:23, Lev 26:11) 
Abjects   (1) an outcast, a worthless, despicable person (Psa 35:15). 
Abroad   (79) outdoors; away from home; scattered about (1Sa 9:26; Mar 1:28; Joh 11:52) 
Adamant   (2) a sharp, hard stone; hardest substance (Eze 3:9; Zec 7:12) 
Adjure   (7) to charge or bind by an oath or threat (1Ki 22:16; 2Ch 18:15; Mat 26:63) 
Admiration   (2) wonder or astonishment (Jude 1:16; Rev 17:6) 
Admonish   (9) to instruct; warn; reprove mildly (Ecc 4:13) 
Ado   (1) trouble; labor; fuss (Mar 5:39) 
Adventure   (3) hazard, risk (Deu 28:56; Jdg 9:17; Act 19:31) 
Advertise   (2) give notice, inform (Num 24:13; Rth 4:4) 
Advisement   (1) a consultation; counsel (1Ch 12:19) 
Affect   (4) to act upon (Lam 3:51); embitter (Act 14:2); desire, seek (Gal 4:17, Gal 4:18) 
Affinity   (3) a relationship by marriage (1Ki 3:1; 2Ch 18:1; Ezr 9:14) 
Affording   (1) accomplishing, yielding, producing or providing (Psa 144:13) 
Afoot   (2) to go on foot; walk (Mat 6:33; Act 20:13) 
Afore   (7) before; prior (2Ki 20:4; Psa 129:6; Rom 1:2) 
Agone   (1) past, ago (1Sa 30:13) 
Ague   (1) fever; chill (Lev 26:16) 
Albeit   (2) although; even though (Eze 13:7; Phm 1:19) 
Alleluia   (4) praise the lord (Rev 19:1) 
Allow   (3) to praise or approve (Luk 11:48; Act 24:15; Rom 7:15) 
Alms   (13) charity; relief to the poor (Mat 6:1; Luk 11:41; Act 3:2) 
Amazed   (21) terrified, fearful (Mar 9:15, Mar 14:33) 
Ambassage   (1) ambassadors, delegation (Luk 14:32) 
Amerce   (1) to punish by imposing a penalty or fine (Deu 22:19) 
Amiable   (1) friendly, agreeable, or lovely (Psa 84:1) 
Amiss   (4) in error, incorrect, improper (2Ch 6:37; Dan 3:29; Luk 23:41) 
Anathema   (1) excommunication with a curse (1Co 16:22) 
Ancient   (16) old person yet still alive, elders (Ezr 3:12; Job 12:12; Isa 3:2) 
Angle   (2) fishing rod with hook (Isa 19:8; Hab 1:15) 
Anise   (1) an herb of the parsley family (Mat 23:23) 
Anon   (2) immediately, at once (Mt. 1320; Mar 1:30) 
Apace   (3) traveling at a great pace, swiftly (2Sa 18:25; Psa 68:12; Jer 46:5) 
Apostle   (83) messenger; one sent on a mission (Mat 10:2; Mar 6:30; Luk 9:10) 
Apothecary   (4) a store or shop; pharmacy, spice dealer (Exo 30:25; 2Ch 16:14; Neh 3:8) 
Apparel   (28) clothing; attire (Jdg 17:10; Act 1:10) 
Appertain   (7) belong or pertain to (Num 16:30; Jer 10:7; Neh 2:8) 
Apple...Eye   (5) pupil of the eye (Deu 32:10; Psa 17:8; Pro 7:2) 
